Date, Apartment Complex Name, Unit, Price
10/7/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,365 "
10/7/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/7/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,295 "
10/7/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,200 "
10/7/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/7/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,390 "
10/7/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,475 "
10/7/2019,The Ventura,A1beds1baths1sq.ft798,$1160-$1180
10/7/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,385 "
10/9/2019,San Brisas,A2,"$1,325 "
10/9/2019,Country Brook,A1,$1073 -to $1419
10/9/2019,Country Brook,A2,$1038 -to $1407
10/9/2019,Country Brook,A3,$1112 -to $1383
10/9/2019,Country Brook,A4,$1223 -to $1478
10/9/2019,Country Brook,B1,$1397 -to $1894
10/9/2019,Country Brook,B2,$1412 -to $1863
10/9/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,095 "
10/9/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,405 "
10/9/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/9/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,310 "
10/9/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,200 "
10/9/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/9/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,390 "
10/9/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,475 "
10/9/2019,The Ventura,A1beds1baths1sq.ft798,$1160-$1175
10/9/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,415 "
10/10/2019,San Brisas,A2,"$1,325 "
10/10/2019,Country Brook,A1,$1079 -to $1419
10/10/2019,Country Brook,A2,$1044 -to $1407
10/10/2019,Country Brook,A3,$1112 -to $1383
10/10/2019,Country Brook,A4,$1230 -to $1485
10/10/2019,Country Brook,B1,$1397 -to $1894
10/10/2019,Country Brook,B2,$1412 -to $1863
10/10/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,095 "
10/10/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,405 "
10/10/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/10/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,310 "
